text	label_x	label_y	_merge
Will I see the transfer in my account within the week?	transfer_timing		left_only
What are the steps to verify identity?	verify_my_identity		left_only
top up is still pending	pending_top_up		left_only
Why did the ATM give me less money than what I requested?	wrong_amount_of_cash_received		left_only
I'm not sure why my top up request was denied	top_up_failed		left_only
The card is non-functional.	card_not_working		left_only
I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?	lost_or_stolen_card		left_only
Is it possible to purchase more physical cards with my account?	getting_spare_card		left_only
Will I be charged for a SEPA transfer?	top_up_by_bank_transfer_charge		left_only
For physical cards, do you charge?	order_physical_card		left_only
I couldn't do a transfer to an account	beneficiary_not_allowed		left_only
Can I get a new pin number at any ATM using my card?	change_pin		left_only
Will the duplicated payment be refunded?	transaction_charged_twice		left_only
Why is my beneficiary not being allowed to get payment services?	beneficiary_not_allowed		left_only
I want to use my card, how would I activate it?	activate_my_card		left_only
Why was my cash withdrawal declined?	declined_cash_withdrawal		left_only
What do I do to activate my new card?	activate_my_card		left_only
Can I have a discount if I exchange currency often?	exchange_charge		left_only
Why is it asking me to verify my identity	why_verify_identity		left_only
I would like to know any restrictions for the disposable cards.	disposable_card_limits		left_only
Is it possible for friends to top up my account?	topping_up_by_card		left_only
Does Apple Watch support the topping-off of my account?	apple_pay_or_google_pay		left_only
I'm waiting for the ID verification to go through still, so is it too soon to use my account?	why_verify_identity		left_only
Can I change my pin through the app?	change_pin		left_only
Is my PIN the same thing as my passcode?	get_physical_card		left_only
I am looking to change my adress.	edit_personal_details		left_only
Where do I top up?	top_up_by_cash_or_cheque		left_only
Can it automatically top up my account?	automatic_top_up		left_only
Where do I find the top-up verification code?	verify_top_up		left_only
Can you tell me my code to get into the app?	passcode_forgotten		left_only
What is the limit to a top-up?	top_up_limits		left_only
My app says I made a withdrawal, but I didn't.	cash_withdrawal_not_recognised		left_only
Can you show me how to top up with Google play?	apple_pay_or_google_pay		left_only
I transferred money yesterday, but it still isn't available?	pending_transfer		left_only
Why hasn't my cheque processed?	balance_not_updated_after_cheque_or_cash_deposit		left_only
I believe my card payment were reverted	reverted_card_payment?		left_only
I didn't make a payment at this business.	card_payment_not_recognised		left_only
I'm not able to withdraw money from the ATM but I'm not sure why.	declined_cash_withdrawal		left_only
I couldn't make a transfer	failed_transfer		left_only
How do I get a refund for an unauthorized direct debit payment?	direct_debit_payment_not_recognised		left_only
My card doesn't accept any transaction at all. What's wrong??	card_not_working		left_only
My card payment is just showing up as pending since forever, what's going on with that, when should it be going through?	pending_card_payment		left_only
How can my friends top up my account?	topping_up_by_card		left_only
Can I use my card at any ATMs?	atm_support		left_only
I should not have been charged a fee for cash withdrawal.	cash_withdrawal_charge		left_only
How can I get my money back on an order. I haven't gotten the item yet, so I want to cancel the order. How?	request_refund		left_only
Can it be delivered on a certain date?	card_delivery_estimate		left_only
I have exceeded the number of PIN attempts	pin_blocked		left_only
The app is having trouble verifying my identity.	unable_to_verify_identity		left_only
I noticed that my card was charged more than once for one thing.	transaction_charged_twice		left_only
How do I take a block off my card?	pin_blocked		left_only
Am I able to do top-ups with Google Pay?	apple_pay_or_google_pay		left_only
My card is lost! What can I do?	lost_or_stolen_card		left_only
Are there cash machines where I can change my PIN?	change_pin		left_only
Hello I changed my mind and really need a refund on one of things I bought recently. Can you please cancel the transaction and get me my money back. Pls it's urgent	request_refund		left_only
Who can I speak with regarding a lost card?	lost_or_stolen_card		left_only
where do I top up my google pay?	apple_pay_or_google_pay		left_only
What are the steps for getting money from a friend?	receiving_money		left_only
Is there a limit on auto top-up?	automatic_top_up		left_only
They used the wrong rate when I made a purchase with foreign currency.	card_payment_wrong_exchange_rate		left_only
I tried to buy something online yesterday but it wouldn't stop saying declined. Tried again today but same thing happened. What's Broken?	declined_transfer		left_only
Can you provide information for freezing my card immediately?	lost_or_stolen_card		left_only
How do I know which countries you provide service in?	country_support		left_only
Will I get charged for sending out more cards?	getting_spare_card		left_only
The contactless payments are not working.	contactless_not_working		left_only
How would I go about getting a second card?	getting_spare_card		left_only
My account is blocked, how do I log in now	pin_blocked		left_only
Can I keep using my card after it expires?	card_about_to_expire		left_only
I have left my card at my parents house. Can you send me a spare one please to use in the meantime?	getting_spare_card		left_only
Could you assist me in finding my lost card?	lost_or_stolen_card		left_only
There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.	extra_charge_on_statement		left_only
What happens if I use my account and my identity verification hasn't finished?	why_verify_identity		left_only
How long will my top-up be pending?	pending_top_up		left_only
How old can one use your service?	age_limit		left_only
Why is my beneficiary not allowed?	beneficiary_not_allowed		left_only
Please help me set up a new PIN.	change_pin		left_only
Where can I go to find out how to verify my identity?	verify_my_identity		left_only
Why have I not received a virtual card yet?	getting_virtual_card		left_only
I would like to transfer some money from my other bank account into this one.	transfer_into_account		left_only
Can I have an item refunded?	request_refund		left_only
how secure is a disposable virtual card	get_disposable_virtual_card		left_only
